  5661,   522,  5921,     0,  6560,    48,  6002,   319,  5945,  -402,
  5436,  -887,  4451,  -669,  5566,  -889,  6186,  -866,  5226, -1254,
  5237, -2214,  5116, -2102,  4419, -2056,  4285, -2329,  4396, -2264,
  4563, -3070,  4012, -3325,  3378, -2566,  3940, -2958,  4229, -3411,
  3677, -3110,  2716, -3037,  1945, -3182,  2729, -3824,  3070, -4096,
  1723, -3762,  1328, -4137,  1696, -3974,  1584, -3391,  1395, -4132,
  1082, -4414,  1357, -3761,  1513, -3789,   796, -3757,  1093, -3523,
  1396, -3956,   596, -4568,  1047, -4849,  1745, -4743,   888, -4536,
   451, -4806,  1024, -5509,  1336, -5879,  1154, -5550,   905, -5377,
  1001, -5714,  1259, -5746,  1364, -5596,  1249, -5691,  1126, -5636,
  1250, -5698,  1029, -6413,  1029, -6829,  2253, -6100,  2565, -5529,
  1298, -5719,  1255, -5636,  2199, -5754,  2178, -5982,  1712, -5435,
